{2a9c3e00-2410-488b-b7f4-4ae766070f55} event:/Music/hacker_music
{8d2d6dd0-64b0-4de5-90e1-d449d5aed340} event:/Sound Design/weapon/_grenade/weapon_grenade_alert
{7f961ec1-fe66-4442-ac58-0d12e47b7076} event:/Sound Design/weapon/_laser/weapon_laser_charge
{28ab1389-89bf-4664-9b27-534fc1f98cac} event:/Sound Design/weapon/_laser/weapon_laser_shot
{276512db-90b9-463d-b7ca-604fbb89111f} event:/Sound Design/weapon/_mg/weapon_mg_bullet_shot
{187b0939-18a0-49e6-8bff-b39d26f30c4c} event:/Sound Design/weapon/_mg/weapon_mg_empty
{9f30eea4-fcc1-4bff-9b9d-8c23ae4276cc} event:/Sound Design/weapon/_mg/weapon_mg_laser_shot
{3ad8e0cb-efde-4b35-a339-02eb45a4f630} event:/Sound Design/weapon/_mg/weapon_mg_reload
{d221f383-e55e-40e7-8d92-7f5e2f9ffb8b} event:/Sound Design/weapon/_pistol/weapon_pistol_laser_shot
{9ee3f487-0da3-445a-b220-3160ff4ce400} event:/envi_ambience
{aa168d68-3ce9-46ca-9c4c-365e62c454ad} bus:/
{c0eb24ce-d2bd-4fab-81aa-b1c795f553b1} bus:/New Group
{2863da34-4ee5-47ca-bff7-38a15cfc2ca5} bus:/Reverb
{0c5318aa-0837-4f8f-9cc0-43ca0edaf7f9} bank:/Hacker
{60e70753-bd9f-477e-afce-53912b59402d} bank:/Shooter
